period,rank,code,contribution
2005-2013,14,600552,-0.0073699161295997535
2005-2013,15,002095,-0.007358022086726398
2005-2013,16,600373,-0.0073086485061216264
2005-2013,17,300109,-0.0072457499426241394
2005-2013,18,002282,-0.007053469287953812
2005-2013,19,000034,-0.0069382933664324875
2005-2013,20,000710,-0.006696662772441149
2014-2015,1,300264,-0.006682411819185311
2014-2015,2,300370,-0.006059709694839064
2014-2015,3,600695,-0.004196008579477261
2014-2015,4,600982,-0.004158298745009243
2014-2015,5,300095,-0.0038094326611699102
2014-2015,6,002578,-0.0034660519338475483
2014-2015,7,000723,-0.003377671352935398
2014-2015,8,002380,-0.0033173424775607063
2014-2015,9,300069,-0.003019350040429777
2014-2015,10,000862,-0.002914609969489905
2014-2015,11,300275,-0.002891502274318001
2014-2015,12,002591,-0.0028911298360544003
2014-2015,13,300241,-0.0027810811337069976
2014-2015,14,300217,-0.0027686954534352636
2014-2015,15,300084,-0.0026940798542884215
2014-2015,16,600746,-0.0025915494413958147
2014-2015,17,300292,-0.0025262252785893126
2014-2015,18,000852,-0.0025105896587458865
2014-2015,19,300078,-0.0024460141968292138
2014-2015,20,002458,-0.002355073257580682
2019-2021,1,002070,-0.012370980886596944
2019-2021,2,603655,-0.009042187917479936
2019-2021,3,300615,-0.005502697981905489
2019-2021,4,603353,-0.004928310648413365
2019-2021,5,300700,-0.004746413953044008
2019-2021,6,603106,-0.004582965164514923
2019-2021,7,300461,-0.004449545125668263
2019-2021,8,603316,-0.004293688163742962
2019-2021,9,300799,-0.004285758939388551
2019-2021,10,300514,-0.00419575097451344
2019-2021,11,603226,-0.004194339368657097
2019-2021,12,002144,-0.004141850375521022
2019-2021,13,300658,-0.004138671071650776
2019-2021,14,300688,-0.004129426287769083
2019-2021,15,002893,-0.004041074299845234
2019-2021,16,002940,-0.003958426217095161
2019-2021,17,600695,-0.003917821466370869
2019-2021,18,300126,-0.0039032585865281686
2019-2021,19,000502,-0.003848621601375955
2019-2021,20,300801,-0.00382639475944198
