date,strategy,daily_return,entry_pnl,sell_open_pnl,normal_holding_pnl,sell_failed_holding_pnl,suspended_holding_pnl,turnover_rate,holdings,cash_slots,return_events,suspended_positions,is_rebalance,bought,buy_failed,sold,sell_failed,label
2006-09-21,rpe_top100,0.004144254778984324,0.0,0.0,0.003932801197200726,9.584664536741228e-05,0.00011560693641618602,0.0,100,0,98,2,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-09-22,rpe_top100,-0.013517593322672343,0.0,0.0,-0.013359365474571077,-0.00015822784810126667,0.0,0.0,100,0,95,5,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-09-25,rpe_top100,0.0013182053023003493,0.0,0.0,0.0017816699467328944,0.0001286173633440524,-0.0005920820077765976,0.0,100,0,96,4,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-09-26,rpe_top100,-0.0040686009983768034,0.0,0.0,-0.003604054188809056,0.0,-0.0004645468095677474,0.0,100,0,95,5,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-09-27,rpe_top100,0.011534743086599943,0.0,0.0,0.01116930143977564,-6.349206349206327e-05,0.00042893371031636594,0.0,100,0,98,2,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-09-28,rpe_top100,0.004715178241413856,0.0,0.0,0.005074290812138684,3.1948881789138906e-05,-0.0003910614525139666,0.0,100,0,98,2,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-09-29,rpe_top100,0.008682539306418864,0.0,0.0,0.008586997905144979,9.554140127388422e-05,0.0,0.0,100,0,99,1,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-10-09,rpe_top100,0.016638757395079598,0.002065564063407692,-3.4614420525737047e-05,0.014607807752197641,0.0,0.0,0.32,100,0,115,1,True,16,0,16,0,RPE top100 inside size 10%-50%
2006-10-10,rpe_top100,0.008119244207832603,0.0,0.0,0.007922199872857234,0.0,0.00019704433497536923,0.0,100,0,100,0,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-10-11,rpe_top100,0.004752107366496208,0.0,0.0,0.004752107366496208,0.0,0.0,0.0,100,0,100,0,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-10-12,rpe_top100,-0.007143044664755902,0.0,0.0,-0.007143044664755902,0.0,0.0,0.0,100,0,99,1,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-10-13,rpe_top100,0.0009500729458858614,0.0,0.0,0.0013912494164740974,0.0,-0.00044117647058823596,0.0,100,0,99,1,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-10-16,rpe_top100,-0.0032892034386392322,0.0,0.0,-0.0032892034386392322,0.0,0.0,0.0,100,0,99,1,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-10-17,rpe_top100,-0.0012051451515428858,0.0,0.0,-0.0012051451515428858,0.0,0.0,0.0,100,0,98,2,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-10-18,rpe_top100,0.013577651868389867,0.0,0.0,0.013577651868389867,0.0,0.0,0.0,100,0,99,1,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-10-19,rpe_top100,0.005805541629570682,0.0,0.0,0.005805541629570682,0.0,0.0,0.0,100,0,99,1,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-10-20,rpe_top100,-0.010887871585362063,0.0,0.0,-0.010887871585362063,0.0,0.0,0.0,100,0,99,1,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-10-23,rpe_top100,-0.03822775726500821,0.0,0.0,-0.03822775726500821,0.0,0.0,0.0,100,0,99,1,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-10-24,rpe_top100,0.03243812915212128,0.0,0.0,0.0327555894695816,0.0,-0.00031746031746031746,0.0,100,0,100,0,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-10-25,rpe_top100,-0.003942348344776626,0.0,0.0,-0.003942348344776626,0.0,0.0,0.0,100,0,99,1,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-10-26,rpe_top100,-0.00849097532692107,0.0,0.0,-0.008675732832694742,0.0,0.00018475750577367166,0.0,100,0,99,1,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-10-27,rpe_top100,-0.01934549822542063,0.0,0.0,-0.01899373943145078,0.0,-0.00035175879396984964,0.0,100,0,99,1,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-10-30,rpe_top100,0.0008029624659113953,0.0,0.0,0.0011154624659113954,0.0,-0.0003125,0.0,100,0,98,2,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-10-31,rpe_top100,0.00885593621284417,0.0,0.0,0.00856866913209883,0.0,0.00028726708074533925,0.0,100,0,100,0,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-11-01,rpe_top100,0.005249284380337935,0.0002855081407713711,-0.00011022966181353788,0.005074005901380101,0.0,0.0,0.44,100,0,122,0,True,22,0,22,0,RPE top100 inside size 10%-50%
2006-11-02,rpe_top100,-0.0007702506369591711,0.0,0.0,-0.0007702506369591711,0.0,0.0,0.0,100,0,100,0,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-11-03,rpe_top100,0.00533637794784034,0.0,0.0,0.00533637794784034,0.0,0.0,0.0,100,0,100,0,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-11-06,rpe_top100,-0.004810521628667516,0.0,0.0,-0.004810521628667516,0.0,0.0,0.0,100,0,99,1,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-11-07,rpe_top100,-0.011241042917102177,0.0,0.0,-0.011241042917102177,0.0,0.0,0.0,100,0,99,1,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-11-08,rpe_top100,-0.005464219671941436,0.0,0.0,-0.005464219671941436,0.0,0.0,0.0,100,0,98,2,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-11-09,rpe_top100,0.007417869623020325,0.0,0.0,0.007370476258091414,0.0,4.739336492891155e-05,0.0,100,0,97,3,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-11-10,rpe_top100,-0.029727330295579557,0.0,0.0,-0.029917584937709744,0.0,0.00019025464213018762,0.0,100,0,97,3,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-11-13,rpe_top100,-0.038290760348453586,0.0,0.0,-0.03702929814275346,0.0,-0.0012614622057001256,0.0,100,0,98,2,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-11-14,rpe_top100,0.016476491967150016,0.0,0.0,0.016476491967150016,0.0,0.0,0.0,100,0,97,3,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-11-15,rpe_top100,0.012159008131398584,0.0,0.0,0.011995742825276134,0.0,0.0001632653061224487,0.0,100,0,98,2,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-11-16,rpe_top100,-0.018363765045470097,0.0,0.0,-0.018385599106605467,0.0,2.1834061135370676e-05,0.0,100,0,99,1,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-11-17,rpe_top100,0.010999930550566963,0.0,0.0,0.010999930550566963,0.0,0.0,0.0,100,0,97,3,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-11-20,rpe_top100,-0.008200203463359257,0.0,0.0,-0.007893376154122307,0.0,-0.0003068273092369489,0.0,100,0,99,1,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-11-21,rpe_top100,0.005359288262422591,0.0,0.0,0.005359288262422591,0.0,0.0,0.0,100,0,99,1,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-11-22,rpe_top100,0.015074162864384351,0.0,0.0,0.015074162864384351,0.0,0.0,0.0,100,0,99,1,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-11-23,rpe_top100,0.005408096892328902,0.0,0.0,0.005408096892328902,0.0,0.0,0.0,100,0,99,1,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-11-24,rpe_top100,0.011150648989806899,0.0,0.0,0.011150648989806899,0.0,0.0,0.0,100,0,98,2,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-11-27,rpe_top100,0.019317788721861254,0.0,0.0,0.018699902542999466,0.0,0.0006178861788617884,0.0,100,0,100,0,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-11-28,rpe_top100,0.0005286961030243232,0.0,0.0,0.0005286961030243232,0.0,0.0,0.0,100,0,99,1,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-11-29,rpe_top100,0.004597474813438218,0.0,0.0,0.004458101991138565,0.0,0.00013937282229965265,0.0,100,0,99,1,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-11-30,rpe_top100,0.013630259776257227,0.0,0.0,0.013399490545487997,0.0,0.00023076923076922995,0.0,100,0,100,0,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-12-01,rpe_top100,-0.0035795217566015345,-0.0010643942462961642,-0.00021238596279560373,-0.0023027415475097668,0.0,0.0,0.3,100,0,114,1,True,15,0,15,0,RPE top100 inside size 10%-50%
2006-12-04,rpe_top100,0.019224317839530557,0.0,0.0,0.019224317839530557,0.0,0.0,0.0,100,0,98,2,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-12-05,rpe_top100,0.011440785180864704,0.0,0.0,0.011115581928832184,0.0,0.0003252032520325199,0.0,100,0,98,2,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-12-06,rpe_top100,-0.01294060119176322,0.0,0.0,-0.012828241641201422,0.0,-0.00011235955056179692,0.0,100,0,98,2,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-12-07,rpe_top100,-0.004968093087564008,0.0,0.0,-0.0046527777722486915,0.0,-0.00031531531531531654,0.0,100,0,97,3,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-12-08,rpe_top100,-0.037427125549516,0.0,0.0,-0.03679993792232837,0.0,-0.0006271876271876286,0.0,100,0,96,4,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-12-11,rpe_top100,0.02565524381088515,0.0,0.0,0.02587365805290538,0.0,-0.00021841424202023174,0.0,100,0,99,1,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-12-12,rpe_top100,-0.004432078723997634,0.0,0.0,-0.004432078723997634,0.0,0.0,0.0,100,0,98,2,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-12-13,rpe_top100,-0.00019376583994540564,0.0,0.0,-0.00019376583994540564,0.0,0.0,0.0,100,0,99,1,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-12-14,rpe_top100,0.015659121215562146,0.0,0.0,0.015659121215562146,0.0,0.0,0.0,100,0,98,2,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-12-15,rpe_top100,0.00936087469967035,0.0,0.0,0.00936087469967035,0.0,0.0,0.0,100,0,96,4,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-12-18,rpe_top100,0.015194664024477413,0.0,0.0,0.014792599436221658,0.0,0.00040206458825575497,0.0,100,0,99,1,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-12-19,rpe_top100,0.009287502872432393,0.0,0.0,0.009287502872432393,0.0,0.0,0.0,100,0,98,2,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-12-20,rpe_top100,0.02064894708462939,0.0,0.0,0.02028750130149686,0.0,0.0003614457831325302,0.0,100,0,97,3,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-12-21,rpe_top100,-0.004790254250492148,0.0,0.0,-0.004713220695197723,0.0,-7.703355529442457e-05,0.0,100,0,98,2,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-12-22,rpe_top100,-0.0052852895810679675,0.0,0.0,-0.005030744126522513,0.0,-0.00025454545454545397,0.0,100,0,98,2,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-12-25,rpe_top100,0.00608602317276268,0.0,0.0,0.00608602317276268,0.0,0.0,0.0,100,0,97,3,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-12-26,rpe_top100,-0.012609841911343631,0.0,0.0,-0.01173162177082841,0.0,-0.0008782201405152213,0.0,100,0,98,2,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-12-27,rpe_top100,0.0046321324290882135,0.0,0.0,0.0065852574290882135,0.0,-0.001953125,0.0,100,0,99,1,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-12-28,rpe_top100,-0.025942639307492958,0.0,0.0,-0.025159506777372477,0.0,-0.0007831325301204817,0.0,100,0,98,2,False,0,0,0,0,RPE top100 inside size 10%-50%
2006-12-29,rpe_top100,0.006156788006936448,0.0,0.0,0.006975513761423921,0.0,-0.0008187257544874738,0.0,100,0,98,2,False,0,0,0,0,RPE top100 inside size 10%-50%
2007-01-04,rpe_top100,4.1403150371143674e-06,-0.0007248324632943604,0.0010600872631052504,-0.0003311144847737757,0.0,0.0,0.4,100,0,119,1,True,20,0,20,0,RPE top100 inside size 10%-50%
2007-01-05,rpe_top100,0.026331025164098486,0.0,0.0,0.026239000624221184,0.0,9.20245398773023e-05,0.0,100,0,98,2,False,0,0,0,0,RPE top100 inside size 10%-50%
2007-01-08,rpe_top100,0.043269106910385526,0.0,0.0,0.041818997261262716,0.0,0.001450109649122806,0.0,100,0,100,0,False,0,0,0,0,RPE top100 inside size 10%-50%
2007-01-09,rpe_top100,0.013757164945003696,0.0,0.0,0.013757164945003696,0.0,0.0,0.0,100,0,99,1,False,0,0,0,0,RPE top100 inside size 10%-50%
2007-01-10,rpe_top100,0.02505458072392184,0.0,0.0,0.02505458072392184,0.0,0.0,0.0,100,0,99,1,False,0,0,0,0,RPE top100 inside size 10%-50%
2007-01-11,rpe_top100,0.008540326447123955,0.0,0.0,0.008540326447123955,0.0,0.0,0.0,100,0,98,2,False,0,0,0,0,RPE top100 inside size 10%-50%
2007-01-12,rpe_top100,-0.0372493725156284,0.0,0.0,-0.03684056748418185,0.0,-0.0004088050314465419,0.0,100,0,99,1,False,0,0,0,0,RPE top100 inside size 10%-50%
2007-01-15,rpe_top100,0.053826938405512975,0.0,0.0,0.053826938405512975,0.0,0.0,0.0,100,0,98,2,False,0,0,0,0,RPE top100 inside size 10%-50%
2007-01-16,rpe_top100,0.024113763649014023,0.0,0.0,0.024113763649014023,0.0,0.0,0.0,100,0,98,2,False,0,0,0,0,RPE top100 inside size 10%-50%
2007-01-17,rpe_top100,-0.005046708118357331,0.0,0.0,-0.006506722791871641,0.0,0.0014600146735143094,0.0,100,0,99,1,False,0,0,0,0,RPE top100 inside size 10%-50%
2007-01-18,rpe_top100,0.03451611159221958,0.0,0.0,0.03432653813250394,0.0,0.00018957345971563953,0.0,100,0,100,0,False,0,0,0,0,RPE top100 inside size 10%-50%
2007-01-19,rpe_top100,0.029042798200155713,0.0,0.0,0.029042798200155713,0.0,0.0,0.0,100,0,99,1,False,0,0,0,0,RPE top100 inside size 10%-50%
2007-01-22,rpe_top100,0.04555996671933873,0.0,0.0,0.04495534312716327,0.0,0.0006046235921754595,0.0,100,0,99,1,False,0,0,0,0,RPE top100 inside size 10%-50%
2007-01-23,rpe_top100,0.008435201841194374,0.0,0.0,0.008109998589161855,0.0,0.0003252032520325199,0.0,100,0,100,0,False,0,0,0,0,RPE top100 inside size 10%-50%
2007-01-24,rpe_top100,0.01656848947142402,0.0,0.0,0.01656848947142402,0.0,0.0,0.0,100,0,99,1,False,0,0,0,0,RPE top100 inside size 10%-50%
2007-01-25,rpe_top100,-0.04725372960234029,0.0,0.0,-0.04725372960234029,0.0,0.0,0.0,100,0,96,4,False,0,0,0,0,RPE top100 inside size 10%-50%
2007-01-26,rpe_top100,0.004129459074038091,0.0,0.0,0.002584286344994824,0.0,0.001545172729043267,0.0,100,0,99,1,False,0,0,0,0,RPE top100 inside size 10%-50%
2007-01-29,rpe_top100,0.03945395612636831,0.0,0.0,0.03945395612636831,0.0,0.0,0.0,100,0,97,3,False,0,0,0,0,RPE top100 inside size 10%-50%
