start,end,days,years,final_value,cagr,ann_vol,sharpe,mdd,calmar,worst_12m,period_total_return,strategy,label,period,gold_total_return
2016-01-04,2018-12-28,731,2.9007936507936507,1.1459954679359432,0.048099015496776865,0.04940745948661734,0.9735172784952668,-0.06304470974276477,0.7629349979249745,-0.013580793091316545,0.1459954679359432,fallback_gold_50,失败权益50%国债/50%黄金,2016-2018 修复/震荡,0.2661290322580616
2019-01-02,2020-12-31,487,1.9325396825396826,1.141727840383279,0.07099139507102348,0.07204060154154043,0.9854359007550492,-0.09764267306226726,0.7270529661324602,0.026001621144152942,0.1417278403832789,fallback_gold_50,失败权益50%国债/50%黄金,2019-2020 黄金牛市,0.36234961075725525
2021-01-04,2021-12-31,243,0.9642857142857143,1.037871760570989,0.03930163390286445,0.056289056175394446,0.6982109236367747,-0.042139473405173766,0.932656028350822,,0.037871760570989066,fallback_gold_50,失败权益50%国债/50%黄金,2021 黄金弱市,-0.05376623376623335
2022-01-04,2023-12-29,484,1.9206349206349207,1.145006811401799,0.07304782320914471,0.045126586950727236,1.618731398607745,-0.04102961725370413,1.780368136447824,0.02995150041546979,0.14500681140179905,fallback_gold_50,失败权益50%国债/50%黄金,2022-2023 修复期,0.27587153444962786
2024-01-02,2026-05-15,570,2.261904761904762,1.4205120655407417,0.1678759214616421,0.08079780580985117,2.077728717741665,-0.09090756653383236,1.8466661012113335,0.09930401882243145,0.4205120655407417,fallback_gold_50,失败权益50%国债/50%黄金,2024-2026 黄金强牛,1.0555077452667851
2015-01-05,2015-12-31,244,0.9682539682539683,0.9253731343283587,-0.07697700113414041,0.13619892590377222,-0.5651806768911415,-0.17290076335877835,-0.445209145632336,,-0.07462686567164134,gold_asset,黄金ETF自身,2015 黄金弱市,
2016-01-04,2018-12-28,731,2.9007936507936507,1.2661290322580616,0.08474476251212915,0.10714193526738698,0.7909579223171328,-0.12555140821174038,0.6749805814141766,-0.0807600950118772,0.2661290322580616,gold_asset,黄金ETF自身,2016-2018 修复/震荡,
2019-01-02,2020-12-31,487,1.9325396825396826,1.3623496107572552,0.17351361257042108,0.16410178515442203,1.0573535955574305,-0.1713111009593422,1.0128567944444045,0.11015911872705009,0.36234961075725525,gold_asset,黄金ETF自身,2019-2020 黄金牛市,
2021-01-04,2021-12-31,243,0.9642857142857143,0.9462337662337666,-0.05570107532616697,0.12149138643146572,-0.4584775675235907,-0.1142203001780715,-0.4876635347598281,,-0.05376623376623335,gold_asset,黄金ETF自身,2021 黄金弱市,
2022-01-04,2023-12-29,484,1.9206349206349207,1.2758715344496279,0.1352449222112433,0.10797533868690187,1.2525538132685607,-0.11376508249199702,1.1888087209953662,0.03989165230238867,0.27587153444962786,gold_asset,黄金ETF自身,2022-2023 修复期,
2024-01-02,2026-05-15,570,2.261904761904762,2.055507745266785,0.3751282015871775,0.21963678678756154,1.7079479584174182,-0.24890793010752732,1.507096223993842,0.22450513655725457,1.0555077452667851,gold_asset,黄金ETF自身,2024-2026 黄金强牛,
