pool,n_symbols,avg_exposure,symbols,mode,cagr,sharpe,mdd,calmar,vol,final,removed_a,removed_b,removed_pair,is_ltc_aave_pair,delta_cagr,delta_sharpe,delta_mdd,delta_calmar,delta_final,rank_by_calmar,rank_by_cagr,rank_by_sharpe
NEARUSDT+AAVEUSDT,12,0.20445186939856935,"BTCUSDT, ETHUSDT, SOLUSDT, XRPUSDT, DOGEUSDT, BNBUSDT, TRXUSDT, ADAUSDT, LINKUSDT, AVAXUSDT, LTCUSDT, UNIUSDT",gross,0.40671054591427414,1.676228042101205,-0.26300680312577107,1.5463879302003578,0.21769744571239652,8.857114031088743,NEARUSDT,AAVEUSDT,NEARUSDT+AAVEUSDT,False,0.03288370316772915,0.05297414632884867,-0.013385976861986726,0.04880918910802934,1.242794507794966,38,10,17
DOGEUSDT+ADAUSDT,12,0.1987928289284859,"BTCUSDT, ETHUSDT, SOLUSDT, XRPUSDT, BNBUSDT, TRXUSDT, LINKUSDT, AVAXUSDT, NEARUSDT, LTCUSDT, AAVEUSDT, UNIUSDT",gross,0.35597439304919387,1.573245150897973,-0.23034001768872248,1.545430084711774,0.20716762559566065,7.0036192166630515,DOGEUSDT,ADAUSDT,DOGEUSDT+ADAUSDT,False,-0.017852449697351114,-0.05000874487438334,0.01928080857506187,0.04785134361944543,-0.6107003066307257,39,71,49
XRPUSDT+ADAUSDT,12,0.19569999375544195,"BTCUSDT, ETHUSDT, SOLUSDT, DOGEUSDT, BNBUSDT, TRXUSDT, LINKUSDT, AVAXUSDT, NEARUSDT, LTCUSDT, AAVEUSDT, UNIUSDT",gross,0.3478163136376986,1.5607724841066668,-0.22697946253835,1.532369095194823,0.20462440537217916,6.73862172153397,XRPUSDT,ADAUSDT,XRPUSDT+ADAUSDT,False,-0.02601052910884638,-0.062481411665689546,0.02264136372543435,0.034790354102494536,-0.8756978017598076,40,80,57
ETHUSDT+LINKUSDT,12,0.19056344425792673,"BTCUSDT, SOLUSDT, XRPUSDT, DOGEUSDT, BNBUSDT, TRXUSDT, ADAUSDT, AVAXUSDT, NEARUSDT, LTCUSDT, AAVEUSDT, UNIUSDT",gross,0.3717081877089512,1.6065177677115603,-0.24315152629045111,1.528710073836574,0.21046761065190048,7.5395755851740205,ETHUSDT,LINKUSDT,ETHUSDT+LINKUSDT,False,-0.0021186550375937863,-0.01673612806079605,0.006469299973333231,0.03113133274424551,-0.07474393811975677,41,44,36
LINKUSDT+UNIUSDT,12,0.20134975092574914,"BTCUSDT, ETHUSDT, SOLUSDT, XRPUSDT, DOGEUSDT, BNBUSDT, TRXUSDT, ADAUSDT, AVAXUSDT, NEARUSDT, LTCUSDT, AAVEUSDT",gross,0.3828340248494573,1.6130639155098423,-0.25044326998030564,1.5286257238198597,0.21527230566030964,7.9391014186043085,LINKUSDT,UNIUSDT,LINKUSDT+UNIUSDT,False,0.009007182102912292,-0.010189980262514053,-0.0008224437165212928,0.031046982727531258,0.32478189531053125,42,27,33
ADAUSDT+AAVEUSDT,12,0.1983323726827642,"BTCUSDT, ETHUSDT, SOLUSDT, XRPUSDT, DOGEUSDT, BNBUSDT, TRXUSDT, LINKUSDT, AVAXUSDT, NEARUSDT, LTCUSDT, UNIUSDT",gross,0.3769160083360821,1.6296517206854118,-0.24724672698841277,1.5244529742702975,0.20973962254358575,7.724421600175445,ADAUSDT,AAVEUSDT,ADAUSDT+AAVEUSDT,False,0.0030891655895370906,0.0063978249130554055,0.0023740992753715773,0.026874233177968998,0.11010207688166762,43,33,24
ADAUSDT+LTCUSDT,12,0.1963521400060635,"BTCUSDT, ETHUSDT, SOLUSDT, XRPUSDT, DOGEUSDT, BNBUSDT, TRXUSDT, LINKUSDT, AVAXUSDT, NEARUSDT, AAVEUSDT, UNIUSDT",gross,0.39399543782890833,1.7057171013369168,-0.25890115765626376,1.5217986717232284,0.20729554027399003,8.357703228687512,ADAUSDT,LTCUSDT,ADAUSDT+LTCUSDT,False,0.02016859508236335,0.08246320556456044,-0.009280331392479413,0.02421993063089989,0.7433837053937351,44,19,10
SOLUSDT+LINKUSDT,12,0.19911436334286847,"BTCUSDT, ETHUSDT, XRPUSDT, DOGEUSDT, BNBUSDT, TRXUSDT, ADAUSDT, AVAXUSDT, NEARUSDT, LTCUSDT, AAVEUSDT, UNIUSDT",gross,0.3658875517006823,1.544531102100818,-0.2417684454418736,1.5133800899118974,0.21710665023230696,7.337407872030772,SOLUSDT,LINKUSDT,SOLUSDT+LINKUSDT,False,-0.007939291045862662,-0.07872279367153845,0.007852380821910754,0.01580134881956896,-0.27691165126300543,45,52,68
BNBUSDT+LINKUSDT,12,0.1872840990971517,"BTCUSDT, ETHUSDT, SOLUSDT, XRPUSDT, DOGEUSDT, TRXUSDT, ADAUSDT, AVAXUSDT, NEARUSDT, LTCUSDT, AAVEUSDT, UNIUSDT",gross,0.36057082976747723,1.5722804139248137,-0.24068331554497135,1.4981131074709042,0.20979785921480684,7.156757762342421,BNBUSDT,LINKUSDT,BNBUSDT+LINKUSDT,False,-0.013256012979067755,-0.05097348184754269,0.008937510718812991,0.0005343663785757347,-0.45756176095135626,46,61,50
ETHUSDT+UNIUSDT,12,0.193464010099575,"BTCUSDT, SOLUSDT, XRPUSDT, DOGEUSDT, BNBUSDT, TRXUSDT, ADAUSDT, LINKUSDT, AVAXUSDT, NEARUSDT, LTCUSDT, AAVEUSDT",gross,0.3718998161142766,1.6003743774854333,-0.25272481098992816,1.471560368993996,0.21151081881306888,7.546310474972828,ETHUSDT,UNIUSDT,ETHUSDT+UNIUSDT,False,-0.0019270266322684027,-0.02287951828692303,-0.003103984726143816,-0.026018372098332465,-0.068009048320949,47,42,41
